DF0000001 avg_kimura=34.34 [mir]
DF0000560 avg_kimura=17.80 [ltr60b]
DF0000561 avg_kimura=11.57 [ltr61]
DF0000562 avg_kimura=14.73 [ltr62]
DF0000563 avg_kimura=17.28 [ltr64]
DF0000564 avg_kimura=24.57 [ltr65]
DF0000565 avg_kimura=7.89 [ltr66]
DF0000566 avg_kimura=33.29 [ltr67b]
DF0000567 avg_kimura=28.01 [ltr68]
DF0000568 avg_kimura=17.23 [ltr69]
DF0000569 avg_kimura=14.23 [ltr6a]
DF0000570 avg_kimura=5.85 [ltr6b]
DF0000571 avg_kimura=5.21 [ltr7]
DF0000572 avg_kimura=15.12 [ltr70]
DF0000573 avg_kimura=8.05 [ltr71a]
DF0000574 avg_kimura=10.75 [ltr71b]
DF0000575 avg_kimura=14.04 [ltr72]
DF0000576 avg_kimura=13.91 [ltr72b]
DF0000577 avg_kimura=17.94 [ltr73]
DF0000578 avg_kimura=23.30 [ltr75]
DF0000579 avg_kimura=18.61 [ltr75_1]
DF0000580 avg_kimura=24.94 [ltr75b]
DF0000581 avg_kimura=12.22 [ltr76]
DF0000582 avg_kimura=13.56 [ltr77]
DF0000583 avg_kimura=35.94 [ltr78]
DF0000584 avg_kimura=35.65 [ltr78b]
DF0000585 avg_kimura=35.34 [ltr79]
DF0000587 avg_kimura=5.78 [ltr7b]
DF0000588 avg_kimura=10.88 [ltr7c]
DF0000589 avg_kimura=4.38 [ltr7y]
DF0000590 avg_kimura=13.26 [ltr8]
DF0000591 avg_kimura=29.68 [ltr80a]
DF0000592 avg_kimura=31.02 [ltr80b]
DF0000593 avg_kimura=35.33 [ltr81]
DF0000594 avg_kimura=34.61 [ltr81a]
DF0000595 avg_kimura=31.46 [ltr81ab]
DF0000596 avg_kimura=33.27 [ltr81b]
DF0000597 avg_kimura=35.77 [ltr81c]
DF0000598 avg_kimura=32.02 [ltr82a]
DF0000599 avg_kimura=33.39 [ltr82b]
DF0000600 avg_kimura=33.93 [ltr83]
DF0000601 avg_kimura=36.41 [ltr84a]
DF0000602 avg_kimura=36.04 [ltr84b]
DF0000603 avg_kimura=34.72 [ltr85a]
DF0000604 avg_kimura=35.84 [ltr85b]
DF0000605 avg_kimura=36.07 [ltr85c]
DF0000606 avg_kimura=34.35 [ltr86a1]
DF0000607 avg_kimura=33.75 [ltr86a2]
DF0000608 avg_kimura=32.50 [ltr86b1]
DF0000609 avg_kimura=35.55 [ltr86b2]
DF0000610 avg_kimura=35.26 [ltr86c]
DF0000611 avg_kimura=29.01 [ltr87]
DF0000612 avg_kimura=34.99 [ltr88a]
DF0000613 avg_kimura=36.25 [ltr88b]
DF0000614 avg_kimura=37.43 [ltr88c]
DF0000615 avg_kimura=36.64 [ltr89]
DF0000616 avg_kimura=16.72 [ltr8a]
DF0000617 avg_kimura=17.13 [ltr8b]
DF0000618 avg_kimura=11.50 [ltr9]
DF0000619 avg_kimura=34.01 [ltr90a]
DF0000620 avg_kimura=36.41 [ltr90b]
DF0000621 avg_kimura=36.50 [ltr91]
DF0000622 avg_kimura=12.06 [ltr9a1]
DF0000623 avg_kimura=11.59 [ltr9b]
DF0000624 avg_kimura=14.01 [ltr9c]
DF0000625 avg_kimura=12.83 [ltr9d]
DF0000626 avg_kimura=13.67 [cer]
DF0000627 avg_kimura=28.84 [charlie7]
DF0000628 avg_kimura=5.51 [herv17]
DF0000629 avg_kimura=9.03 [made1]
DF0000630 avg_kimura=11.26 [hy1]
DF0000631 avg_kimura=9.27 [hy3]
DF0000632 avg_kimura=8.94 [hy4]
DF0000633 avg_kimura=8.59 [hy5]
DF0000634 avg_kimura=11.80 [aluyg6]
DF0000635 avg_kimura=32.47 [l1me3cz_3end]
DF0000636 avg_kimura=2.82 [trna-ala-gca]
DF0000637 avg_kimura=10.43 [trna-ala-gcg]
DF0000638 avg_kimura=4.01 [trna-ala-gcy_v]
DF0000639 avg_kimura=7.39 [trna-arg-aga]
DF0000640 avg_kimura=13.17 [trna-arg-agg]
DF0000641 avg_kimura=4.07 [trna-arg-cga]
DF0000643 avg_kimura=9.10 [trna-arg-cgy]
DF0000644 avg_kimura=9.78 [trna-cys-tgy]
DF0000645 avg_kimura=7.63 [trna-gln-caa_v]
DF0000646 avg_kimura=18.02 [trna-glu-gaa]
DF0000647 avg_kimura=8.67 [trna-glu-gag]
DF0000648 avg_kimura=14.64 [trna-gly-ggg]
DF0000649 avg_kimura=6.76 [trna-gly-ggy]
DF0000650 avg_kimura=10.07 [trna-his-cay]
DF0000651 avg_kimura=7.75 [trna-ile-atc]
DF0000652 avg_kimura=0.00 [trna-leu-cta]
DF0000653 avg_kimura=3.66 [trna-leu-cty]
DF0000654 avg_kimura=8.90 [trna-leu-tta]
DF0000655 avg_kimura=1.80 [trna-leu-ttg]
DF0000656 avg_kimura=12.73 [trna-met]
DF0000657 avg_kimura=6.85 [trna-met_v]
DF0000658 avg_kimura=0.03 [trna-pro-ccg]
DF0000659 avg_kimura=2.85 [trna-ser-agy]
DF0000661 avg_kimura=10.07 [trna-ser-tcg]
DF0000662 avg_kimura=11.62 [trna-thr-aca]
DF0000663 avg_kimura=0.07 [trna-thr-acg]
DF0000665 avg_kimura=2.05 [trna-trp-tgg]
DF0000666 avg_kimura=3.80 [trna-tyr-tac]
DF0000667 avg_kimura=8.07 [trna-tyr-tat]
DF0000668 avg_kimura=8.51 [trna-val-gtg]
DF0000669 avg_kimura=3.30 [trna-ala-gcy]
DF0000670 avg_kimura=6.19 [trna-asn-aac]
DF0000671 avg_kimura=5.34 [trna-asp-gay]
DF0000672 avg_kimura=7.98 [trna-gln-caa]
DF0000673 avg_kimura=8.99 [trna-gln-cag]
DF0000674 avg_kimura=9.51 [trna-glu-gag_v]
DF0000675 avg_kimura=8.28 [trna-gly-gga]
DF0000676 avg_kimura=6.09 [trna-ile-ata]
DF0000677 avg_kimura=6.80 [trna-ile-att]
DF0000678 avg_kimura=4.68 [trna-leu-ctg]
DF0000679 avg_kimura=8.38 [trna-lys-aaa]
DF0000680 avg_kimura=8.30 [trna-lys-aag]
DF0000681 avg_kimura=13.96 [trna-met-i]
DF0000682 avg_kimura=4.72 [trna-phe-tty]
DF0000683 avg_kimura=2.80 [trna-pro-cca]
DF0000684 avg_kimura=3.63 [trna-pro-ccy]
DF0000685 avg_kimura=4.25 [trna-ser-tcy]
DF0000686 avg_kimura=9.74 [trna-thr-acy]
DF0000687 avg_kimura=7.86 [trna-val-gta]
DF0000688 avg_kimura=7.24 [trna-val-gty]
DF0000689 avg_kimura=8.47 [ltr3]
DF0000690 avg_kimura=21.45 [made2]
DF0000691 avg_kimura=35.62 [mamgypltr1a]
DF0000692 avg_kimura=36.01 [mamgypltr1b]
DF0000693 avg_kimura=35.14 [mamgypltr1c]
DF0000694 avg_kimura=34.66 [mamgypltr1d]
DF0000695 avg_kimura=20.85 [mer101b]
DF0000696 avg_kimura=31.51 [mer102a]
DF0000697 avg_kimura=30.41 [mer102b]
DF0000698 avg_kimura=31.65 [mer102c]
DF0000699 avg_kimura=32.16 [mer103c]
DF0000700 avg_kimura=19.66 [mer101-int]
DF0000701 avg_kimura=24.34 [mer104]
DF0000702 avg_kimura=24.31 [mer105]
DF0000703 avg_kimura=24.80 [mer106a]
DF0000704 avg_kimura=8.10 [mer107]
DF0000705 avg_kimura=31.15 [mer110]
DF0000706 avg_kimura=26.79 [mer110a]
DF0000707 avg_kimura=31.98 [mer110-int]
DF0000708 avg_kimura=20.48 [mer106b]
DF0000709 avg_kimura=26.95 [mer112]
DF0000710 avg_kimura=29.42 [mer113]
DF0000711 avg_kimura=27.56 [mer113a]
DF0000713 avg_kimura=30.66 [mer117]
DF0000714 avg_kimura=6.52 [mer11a]
DF0000715 avg_kimura=8.49 [mer11b]
DF0000716 avg_kimura=21.62 [mer119]
DF0000717 avg_kimura=8.12 [mer11c]
DF0000718 avg_kimura=3.69 [mer11d]
DF0000719 avg_kimura=29.08 [mer121]
DF0000720 avg_kimura=24.96 [mer123]
DF0000721 avg_kimura=34.43 [mer124]
DF0000722 avg_kimura=29.49 [mer125]
DF0000723 avg_kimura=31.93 [mer126]
DF0000724 avg_kimura=30.70 [mer127]
DF0000725 avg_kimura=33.65 [mer129]
DF0000726 avg_kimura=33.22 [mer130]
DF0000727 avg_kimura=32.53 [mer131]
DF0000728 avg_kimura=29.92 [mer132]
DF0000729 avg_kimura=25.70 [mer133a]
DF0000730 avg_kimura=28.26 [mer133b]
DF0000731 avg_kimura=28.79 [mer134]
DF0000732 avg_kimura=33.25 [mer135]
DF0000733 avg_kimura=26.65 [mer136]
DF0000734 avg_kimura=9.10 [mer1a]
DF0000735 avg_kimura=10.03 [mer1b]
DF0000736 avg_kimura=15.90 [mer2]
DF0000737 avg_kimura=22.75 [mer20]
DF0000738 avg_kimura=28.96 [mer20b]
DF0000739 avg_kimura=15.68 [mer21a]
DF0000740 avg_kimura=22.07 [mer21c]
DF0000741 avg_kimura=17.53 [mer21b]
DF0000742 avg_kimura=16.77 [mer2b]
DF0000743 avg_kimura=21.07 [mer3]
DF0000744 avg_kimura=8.23 [mer30]
DF0000745 avg_kimura=9.68 [mer30b]
DF0000746 avg_kimura=18.42 [mer31a]
DF0000747 avg_kimura=21.97 [mer31b]
DF0000748 avg_kimura=20.13 [mer33]
DF0000749 avg_kimura=24.46 [mer34a]
DF0000750 avg_kimura=21.73 [mer34a1]
DF0000751 avg_kimura=21.14 [mer34b]
DF0000752 avg_kimura=21.13 [mer34b-int]
DF0000753 avg_kimura=25.56 [mer34c]
DF0000754 avg_kimura=19.48 [mer34c_v]
DF0000755 avg_kimura=19.96 [mer34c2]
DF0000756 avg_kimura=16.50 [mer34d]
DF0000757 avg_kimura=21.98 [mer34-int]
DF0000758 avg_kimura=20.44 [mer39]
DF0000759 avg_kimura=14.49 [mer39b]
DF0000760 avg_kimura=7.81 [mer41a]
DF0000761 avg_kimura=10.55 [mer41b]
DF0000762 avg_kimura=12.18 [mer41c]
DF0000763 avg_kimura=12.34 [mer41e]
DF0000764 avg_kimura=14.95 [mer41g]
DF0000765 avg_kimura=12.46 [mer41-int]
DF0000766 avg_kimura=21.56 [mer31-int]
DF0000767 avg_kimura=14.30 [mer44a]
DF0000768 avg_kimura=17.45 [mer101]
DF0000769 avg_kimura=21.10 [mer21-int]
DF0000770 avg_kimura=26.16 [mer34]
DF0000771 avg_kimura=31.35 [l1me3d_3end]
DF0000772 avg_kimura=13.11 [lsu-rrna_hsa]
DF0000773 avg_kimura=15.69 [l1pa14_5end]
DF0000774 avg_kimura=31.07 [l1meb_5end]
DF0000775 avg_kimura=22.82 [ervl-b4]
DF0000776 avg_kimura=27.11 [l1mec_5end]
DF0000777 avg_kimura=33.65 [l1med_5end]
DF0000778 avg_kimura=18.31 [l1pa12_5end]
DF0000779 avg_kimura=36.03 [marna]
DF0000780 avg_kimura=29.06 [mer115]
DF0000781 avg_kimura=15.49 [mer41d]
DF0000782 avg_kimura=15.17 [mer44b]
DF0000783 avg_kimura=14.47 [mer44c]
DF0000784 avg_kimura=16.48 [mer44d]
DF0000785 avg_kimura=20.59 [mer45a]
DF0000786 avg_kimura=20.11 [mer45b]
DF0000787 avg_kimura=23.68 [mer45c]
DF0000788 avg_kimura=20.40 [mer45r]
DF0000789 avg_kimura=26.94 [mer46c]
DF0000790 avg_kimura=13.48 [mer47a]
DF0000791 avg_kimura=14.43 [mer47b]
DF0000792 avg_kimura=13.81 [mer47c]
DF0000793 avg_kimura=7.48 [mer48]
DF0000794 avg_kimura=16.07 [mer49]
DF0000795 avg_kimura=9.71 [mer4a1]
DF0000796 avg_kimura=10.62 [mer4a1_v]
DF0000797 avg_kimura=13.30 [mer4b]
DF0000798 avg_kimura=14.87 [mer4b-int]
DF0000799 avg_kimura=15.28 [mer4c]
DF0000800 avg_kimura=17.63 [mer4cl34]
DF0000801 avg_kimura=16.60 [mer4d]
DF0000802 avg_kimura=14.07 [mer4d0]
DF0000803 avg_kimura=13.11 [mer4d1]
DF0000804 avg_kimura=9.89 [mer4e]
DF0000805 avg_kimura=10.31 [mer4e1]
DF0000806 avg_kimura=11.55 [mer4-int]
DF0000807 avg_kimura=12.59 [mer50]
DF0000808 avg_kimura=22.04 [mer50c]
DF0000809 avg_kimura=11.74 [mer51a]
DF0000810 avg_kimura=9.65 [mer51b]
DF0000811 avg_kimura=15.61 [mer51c]
DF0000812 avg_kimura=12.87 [mer51d]
DF0000813 avg_kimura=11.91 [mer51e]
DF0000814 avg_kimura=12.15 [mer50b]
DF0000815 avg_kimura=14.76 [mer50-int]
DF0000816 avg_kimura=10.70 [mer51-int]
DF0000817 avg_kimura=9.35 [the1-int]
DF0000818 avg_kimura=9.99 [the1b]
DF0000819 avg_kimura=10.09 [the1c]
DF0000820 avg_kimura=11.04 [the1d]
DF0000821 avg_kimura=36.06 [tigger10]
DF0000822 avg_kimura=32.06 [tigger11a]
DF0000823 avg_kimura=32.05 [tigger12]
DF0000824 avg_kimura=31.12 [tigger12a]
DF0000825 avg_kimura=31.58 [tigger12c]
DF0000826 avg_kimura=29.67 [tigger13a]
DF0000827 avg_kimura=34.17 [tigger14a]
DF0000828 avg_kimura=37.09 [tigger15a]
DF0000829 avg_kimura=32.88 [tigger16b]
DF0000830 avg_kimura=18.09 [tigger17]
DF0000831 avg_kimura=16.68 [tigger17a]
DF0000832 avg_kimura=18.04 [tigger17b]
DF0000833 avg_kimura=17.57 [tigger17c]
DF0000834 avg_kimura=29.55 [tigger18a]
DF0000835 avg_kimura=37.25 [tigger19a]
DF0000836 avg_kimura=13.04 [tigger2]
DF0000837 avg_kimura=34.08 [tigger20a]
DF0000838 avg_kimura=12.91 [tigger2a]
DF0000839 avg_kimura=13.00 [tigger2b_pri]
DF0000840 avg_kimura=13.25 [tigger3]
DF0000841 avg_kimura=13.11 [tigger3b]
DF0000842 avg_kimura=14.35 [tigger3c]
DF0000843 avg_kimura=15.65 [tigger3d]
DF0000844 avg_kimura=14.03 [tigger4]
DF0000845 avg_kimura=13.07 [tigger4a]
DF0000846 avg_kimura=13.28 [tigger4b]
DF0000847 avg_kimura=13.96 [tigger5]
DF0000848 avg_kimura=14.61 [tigger5b]
DF0000849 avg_kimura=19.43 [tigger6a]
DF0000850 avg_kimura=20.15 [tigger6b]
DF0000851 avg_kimura=14.73 [tigger7]
DF0000852 avg_kimura=30.70 [tigger8]
DF0000853 avg_kimura=27.46 [tigger9a]
DF0000854 avg_kimura=20.83 [tigger9b]
DF0000855 avg_kimura=15.68 [mer52-int]
DF0000856 avg_kimura=12.76 [mer52a]
DF0000857 avg_kimura=11.93 [mer52c]
DF0000858 avg_kimura=14.07 [mer52d]
DF0000859 avg_kimura=18.28 [mer53]
DF0000860 avg_kimura=19.96 [mer54a]
DF0000861 avg_kimura=16.86 [mer54b]
DF0000862 avg_kimura=18.72 [mer57a-int]
DF0000863 avg_kimura=10.41 [mer57a1]
DF0000864 avg_kimura=13.79 [mer57b2]
DF0000865 avg_kimura=10.34 [mer57b1]
DF0000866 avg_kimura=19.06 [mer57c2]
DF0000867 avg_kimura=19.52 [mer57c1]
DF0000868 avg_kimura=18.25 [mer57d]
DF0000869 avg_kimura=19.46 [mer57e1]
DF0000870 avg_kimura=21.65 [mer57e2]
DF0000871 avg_kimura=19.33 [mer57e3]
DF0000872 avg_kimura=20.30 [mer58a]
DF0000873 avg_kimura=19.94 [mer58b]
DF0000874 avg_kimura=21.69 [mer58c]
DF0000875 avg_kimura=19.54 [mer58d]
DF0000876 avg_kimura=30.10 [mer5a]
DF0000877 avg_kimura=24.47 [mer5a1]
DF0000878 avg_kimura=32.89 [mer5b]
DF0000879 avg_kimura=23.59 [mer5c]
DF0000880 avg_kimura=23.66 [mer5c1]
DF0000881 avg_kimura=14.15 [mer6]
DF0000882 avg_kimura=11.83 [mer61-int]
DF0000883 avg_kimura=14.37 [mer61a]
DF0000884 avg_kimura=13.25 [mer61b]
DF0000885 avg_kimura=12.87 [mer61c]
DF0000886 avg_kimura=12.33 [mer61d]
DF0000887 avg_kimura=11.06 [mer61e]
DF0000888 avg_kimura=13.20 [mer61f]
DF0000889 avg_kimura=19.33 [mer57f]
DF0000890 avg_kimura=11.22 [mer57-int]
DF0000891 avg_kimura=13.26 [tigger1]
DF0000892 avg_kimura=12.16 [mer4a]
DF0000893 avg_kimura=23.33 [mer63a]
DF0000894 avg_kimura=21.42 [mer63b]
DF0000895 avg_kimura=21.08 [mer63c]
DF0000896 avg_kimura=21.54 [mer63d]
DF0000897 avg_kimura=16.32 [mer65a]
DF0000898 avg_kimura=24.02 [mer65b]
DF0000899 avg_kimura=17.28 [mer65c]
DF0000900 avg_kimura=22.98 [mer65d]
DF0000901 avg_kimura=18.51 [mer65-int]
DF0000902 avg_kimura=15.34 [mer66a]
DF0000903 avg_kimura=13.05 [mer66b]
DF0000904 avg_kimura=15.71 [mer66c]
DF0000905 avg_kimura=15.11 [mer66d]
DF0000906 avg_kimura=18.93 [mer66-int]
DF0000907 avg_kimura=19.63 [mer67a]
DF0000908 avg_kimura=22.53 [mer67b]
DF0000909 avg_kimura=21.06 [mer67c]
DF0000910 avg_kimura=21.45 [mer67d]
DF0000911 avg_kimura=21.10 [mer68]
DF0000912 avg_kimura=24.47 [mer68b]
DF0000913 avg_kimura=24.59 [mer68c]
DF0000914 avg_kimura=24.68 [mer68-int]
DF0000915 avg_kimura=13.84 [mer6a]
DF0000916 avg_kimura=13.40 [mer6b]
DF0000917 avg_kimura=13.52 [mer6c]
DF0000918 avg_kimura=19.03 [mer70a]
DF0000919 avg_kimura=22.69 [mer70b]
DF0000920 avg_kimura=24.03 [mer70c]
DF0000921 avg_kimura=22.66 [mer70-int]
DF0000922 avg_kimura=16.52 [mer72]
DF0000923 avg_kimura=18.69 [mer72b]
DF0000924 avg_kimura=18.35 [mer73]
DF0000925 avg_kimura=20.99 [mer74a]
DF0000926 avg_kimura=24.94 [mer74b]
DF0000927 avg_kimura=22.19 [mer74c]
DF0000928 avg_kimura=7.87 [mer75]
DF0000929 avg_kimura=10.00 [mer75a]
DF0000930 avg_kimura=7.31 [mer75b]
DF0000931 avg_kimura=24.49 [mer76]
DF0000932 avg_kimura=24.31 [mer76-int]
DF0000933 avg_kimura=23.22 [mer77]
DF0000934 avg_kimura=24.55 [mer77b]
DF0000935 avg_kimura=15.60 [mer8]
DF0000936 avg_kimura=20.82 [mer81]
DF0000937 avg_kimura=13.02 [mer83]
DF0000938 avg_kimura=13.02 [mer83a-int]
DF0000939 avg_kimura=10.23 [mer83b]
DF0000940 avg_kimura=16.08 [mer83b-int]
DF0000941 avg_kimura=14.59 [mer83c]
DF0000942 avg_kimura=12.07 [mer84]
DF0000943 avg_kimura=16.23 [mer84-int]
DF0000944 avg_kimura=16.73 [mer87]
DF0000945 avg_kimura=13.49 [mer87b]
DF0000946 avg_kimura=20.51 [mer88]
DF0000947 avg_kimura=20.87 [mer89]
DF0000948 avg_kimura=27.70 [mer89-int]
DF0000949 avg_kimura=28.12 [mer90]
DF0000950 avg_kimura=26.81 [mer90a]
DF0000951 avg_kimura=28.57 [mer91a]
DF0000952 avg_kimura=28.61 [mer91b]
DF0000953 avg_kimura=28.15 [mer91c]
DF0000954 avg_kimura=25.31 [mer92a]
DF0000955 avg_kimura=24.41 [mer92b]
DF0000956 avg_kimura=20.93 [mer92c]
DF0000957 avg_kimura=22.11 [mer92d]
DF0000958 avg_kimura=22.51 [mer92-int]
DF0000959 avg_kimura=25.36 [mer94]
DF0000960 avg_kimura=29.00 [mer94b]
DF0000961 avg_kimura=17.79 [mer95]
DF0000962 avg_kimura=23.63 [mer96]
DF0000963 avg_kimura=20.08 [mer96b]
DF0000964 avg_kimura=23.07 [mer97a]
DF0000965 avg_kimura=23.88 [mer97b]
DF0000966 avg_kimura=23.13 [mer97c]
DF0000967 avg_kimura=24.42 [mer97d]
DF0000968 avg_kimura=20.84 [mer99]
DF0000969 avg_kimura=4.11 [mer9a1]
DF0000970 avg_kimura=4.33 [mer9a2]
DF0000971 avg_kimura=5.33 [mer9a3]
DF0000972 avg_kimura=6.35 [mer9b]
DF0000973 avg_kimura=27.06 [merx]
DF0000974 avg_kimura=38.89 [mir3]
DF0000975 avg_kimura=36.88 [mirb]
DF0000976 avg_kimura=38.35 [mirc]
DF0000977 avg_kimura=6.60 [mer85]
DF0000978 avg_kimura=33.29 [hat-n1_mam]
DF0000979 avg_kimura=40.60 [mamgyp-int]
DF0000980 avg_kimura=33.65 [mamgypltr2b]
DF0000981 avg_kimura=34.75 [mamgypltr2c]
DF0000982 avg_kimura=36.60 [mamgypltr3]
DF0000983 avg_kimura=37.29 [mamgypltr3a]
DF0000984 avg_kimura=37.51 [mam_r4]
DF0000985 avg_kimura=28.04 [mamrep1151]
DF0000986 avg_kimura=30.67 [mamrep137]
DF0000987 avg_kimura=36.78 [mamrep1527]
DF0000988 avg_kimura=32.72 [mamrep1879]
DF0000989 avg_kimura=24.90 [mamrep1894]
DF0000990 avg_kimura=29.76 [mamrep38]
DF0000991 avg_kimura=30.14 [mamrep4096]
DF0000992 avg_kimura=33.41 [mamrep434]
DF0000993 avg_kimura=30.75 [mamrep488]
DF0000994 avg_kimura=29.09 [mamrep564]
DF0000995 avg_kimura=36.20 [mamrep605]
DF0000996 avg_kimura=40.13 [mamsine1]
DF0000997 avg_kimura=29.99 [mamtip1]
DF0000998 avg_kimura=39.11 [mamtip2]
DF0000999 avg_kimura=33.57 [mamtip3]
DF0001000 avg_kimura=14.59 [merlin1_hs]
DF0001001 avg_kimura=19.90 [mlt1a0]
DF0001002 avg_kimura=20.05 [mlt1a1]
DF0001003 avg_kimura=20.87 [mlt1c]
DF0001004 avg_kimura=23.14 [mlt1d]
DF0001005 avg_kimura=24.68 [mlt1e]
DF0001006 avg_kimura=25.74 [mlt1e1]
DF0001007 avg_kimura=25.24 [mlt1e2]
DF0001008 avg_kimura=26.01 [mlt1f]
DF0001009 avg_kimura=25.15 [mlt1f1]
DF0001010 avg_kimura=25.38 [mlt1f2]
DF0001011 avg_kimura=30.74 [mlt1f-int]
DF0001012 avg_kimura=28.64 [mlt1g1]
DF0001013 avg_kimura=28.32 [mlt1g3]
DF0001014 avg_kimura=30.15 [mlt1h]
DF0001015 avg_kimura=29.31 [mlt1h1]
DF0001016 avg_kimura=32.93 [mlt1h-int]
DF0001017 avg_kimura=32.13 [mlt1i]
DF0001018 avg_kimura=33.45 [mlt1j]
DF0001019 avg_kimura=33.00 [mlt1j1]
DF0001020 avg_kimura=33.13 [mlt1j2]
DF0001021 avg_kimura=36.60 [mlt1j-int]
DF0001022 avg_kimura=35.48 [mlt1k]
DF0001023 avg_kimura=34.15 [mlt1l]
DF0001024 avg_kimura=34.39 [mlt1m]
DF0001025 avg_kimura=33.23 [mlt1n2]
DF0001026 avg_kimura=34.86 [mlt1o]
DF0001027 avg_kimura=7.75 [mlt2a1]
DF0001028 avg_kimura=9.76 [mlt2a2]
DF0001029 avg_kimura=20.16 [mlt2b1]
DF0001030 avg_kimura=18.09 [mlt2b2]
DF0001031 avg_kimura=15.62 [mlt2b3]
DF0001032 avg_kimura=18.91 [mlt2b4]
DF0001033 avg_kimura=20.47 [mlt2b5]
DF0001034 avg_kimura=23.96 [mlt2c1]
DF0001035 avg_kimura=21.99 [mlt2c2]
DF0001036 avg_kimura=20.50 [mlt2d]
DF0001037 avg_kimura=30.73 [mlt2e]
DF0001038 avg_kimura=29.45 [mlt2f]
DF0001039 avg_kimura=21.45 [mlt-int]
DF0001040 avg_kimura=11.79 [msr1]
DF0001041 avg_kimura=13.38 [msta]
DF0001042 avg_kimura=15.23 [mstb]
DF0001043 avg_kimura=16.65 [mstb1]
DF0001044 avg_kimura=16.45 [mstc]
DF0001045 avg_kimura=19.74 [mstd]
DF0001046 avg_kimura=17.65 [mst-int]
DF0001047 avg_kimura=20.88 [orsl]
DF0001048 avg_kimura=29.79 [orsl-2a]
DF0001049 avg_kimura=27.67 [orsl-2b]
DF0001050 avg_kimura=20.40 [pabl_b]
DF0001051 avg_kimura=31.80 [pabl_b-int]
DF0001052 avg_kimura=26.77 [prima41-int]
DF0001053 avg_kimura=15.70 [prima4-int]
DF0001054 avg_kimura=13.12 [prima4_ltr]
DF0001055 avg_kimura=32.46 [primax-int]
DF0001056 avg_kimura=15.85 [primltr79]
DF0001057 avg_kimura=16.65 [rep522]
DF0001058 avg_kimura=14.75 [ricksha]
DF0001059 avg_kimura=13.45 [ricksha_0]
DF0001060 avg_kimura=14.59 [ricksha_b]
DF0001061 avg_kimura=17.14 [ricksha_c]
DF0001062 avg_kimura=9.92 [sar]
DF0001063 avg_kimura=17.48 [satr1]
DF0001064 avg_kimura=14.46 [satr2]
DF0001065 avg_kimura=24.30 [sst1]
DF0001066 avg_kimura=7.09 [ssu-rrna_hsa]
DF0001067 avg_kimura=8.79 [sva_a]
DF0001068 avg_kimura=4.05 [sva_b]
DF0001069 avg_kimura=4.20 [sva_c]
DF0001070 avg_kimura=2.88 [sva_d]
DF0001071 avg_kimura=5.94 [sva_e]
DF0001072 avg_kimura=4.32 [sva_f]
DF0001073 avg_kimura=13.29 [u1]
DF0001074 avg_kimura=10.26 [u13]
DF0001075 avg_kimura=10.91 [u14]
DF0001076 avg_kimura=7.66 [u2]
DF0001077 avg_kimura=11.71 [u3]
DF0001078 avg_kimura=9.77 [u4]
DF0001079 avg_kimura=9.80 [u5]
DF0001080 avg_kimura=10.21 [u6]
DF0001081 avg_kimura=11.03 [u7]
DF0001082 avg_kimura=14.12 [u8]
DF0001083 avg_kimura=34.48 [ucon1]
DF0001085 avg_kimura=28.47 [ucon11]
DF0001086 avg_kimura=27.27 [ucon12]
DF0001087 avg_kimura=24.83 [ucon12a]
DF0001089 avg_kimura=29.41 [ucon14]
DF0001090 avg_kimura=28.03 [ucon15]
DF0001091 avg_kimura=24.37 [ucon16]
DF0001092 avg_kimura=29.23 [ucon17]
DF0001093 avg_kimura=32.97 [ucon18]
DF0001094 avg_kimura=29.70 [ucon19]
DF0001095 avg_kimura=31.96 [ucon2]
DF0001096 avg_kimura=30.44 [ucon20]
DF0001097 avg_kimura=23.79 [ucon21]
DF0001098 avg_kimura=28.31 [ucon22]
DF0001099 avg_kimura=29.86 [ucon24]
DF0001100 avg_kimura=28.40 [ucon25]
DF0001101 avg_kimura=30.00 [ucon26]
DF0001103 avg_kimura=32.41 [ucon28a]
DF0001104 avg_kimura=35.18 [ucon28b]
DF0001105 avg_kimura=35.42 [ucon28c]
DF0001106 avg_kimura=34.02 [ucon29]
DF0001107 avg_kimura=34.53 [ucon31]
DF0001108 avg_kimura=29.05 [ucon4]
DF0001109 avg_kimura=33.20 [ucon5]
DF0001110 avg_kimura=31.92 [ucon6]
DF0001111 avg_kimura=35.75 [ucon8]
DF0001112 avg_kimura=30.95 [ucon9]
DF0001113 avg_kimura=31.61 [x1_line]
DF0001116 avg_kimura=31.40 [x5b_line]
DF0001117 avg_kimura=37.67 [x6a_line]
DF0001118 avg_kimura=34.78 [x6b_line]
DF0001119 avg_kimura=38.30 [x7a_line]
DF0001120 avg_kimura=37.00 [x7b_line]
DF0001121 avg_kimura=33.31 [x8_line]
DF0001122 avg_kimura=32.93 [x9_line]
DF0001123 avg_kimura=24.90 [zaphod]
DF0001124 avg_kimura=24.81 [zaphod2]
DF0001125 avg_kimura=23.18 [zaphod3]
DF0001126 avg_kimura=21.70 [mlt1a]
DF0001127 avg_kimura=20.87 [mlt1b]
DF0001128 avg_kimura=25.96 [mlt1e1a]
DF0001129 avg_kimura=25.51 [mlt1e3]
DF0001130 avg_kimura=28.11 [mlt1g]
DF0001131 avg_kimura=29.53 [mlt1h2]
DF0001132 avg_kimura=24.60 [mlt1-int]
